iter	Passed	Remaining
405	6632	9703
406	6656	9698
407	6673	9683
408	6689	9666
409	6703	9647
410	6718	9627
411	6731	9606
412	6745	9587
413	6759	9568
414	6771	9545
415	6785	9526
416	6800	9507
417	6816	9491
418	6833	9474
419	6850	9459
420	6863	9439
421	6882	9426
422	6895	9406
423	6910	9387
424	6924	9368
425	6940	9351
426	6954	9332
427	6972	9318
428	6984	9296
429	6999	9277
430	7014	9260
431	7028	9240
432	7041	9220
433	7055	9201
434	7070	9182
435	7084	9164
436	7097	9143
437	7112	9125
438	7125	9105
439	7140	9087
440	7154	9068
441	7167	9048
442	7179	9027
443	7194	9008
444	7206	8988
445	7220	8968
446	7237	8953
447	7251	8935
448	7265	8915
449	7279	8897
450	7293	8878
451	7306	8857
452	7321	8840
453	7336	8822
454	7350	8804
455	7368	8790
456	7383	8773
457	7397	8754
458	7411	8735
459	7424	8715
460	7437	8695
461	7451	8677
462	7465	8658
463	7479	8639
464	7492	8619
465	7505	8601
466	7523	8586
467	7541	8572
468	7568	8568
469	7593	8562
470	7612	8550
471	7628	8533
472	7641	8514
473	7657	8497
474	7673	8480
475	7688	8463
476	7702	8445
477	7717	8428
478	7732	8410
479	7745	8390
480	7760	8373
481	7775	8356
482	7790	8338
483	7803	8319
484	7817	8301
485	7833	8284
486	7852	8271
487	7870	8257
488	7888	8243
489	7907	8229
490	7922	8213
491	7936	8194
492	7951	8176
493	7963	8157
494	7978	8139
495	7993	8122
496	8009	8106
497	8023	8088
498	8039	8071
499	8053	8053
500	8068	8036
501	8080	8015
502	8097	8000
503	8111	7982
504	8126	7965
505	8141	7948
506	8154	7929
507	8167	7910
508	8185	7895
509	8200	7879
510	8219	7866
511	8236	7850
512	8257	7839
513	8276	7825
514	8291	7808
515	8305	7790
516	8323	7775
517	8351	7771
518	8370	7757
519	8391	7746
520	8416	7738
521	8437	7726
522	8474	7729
523	8526	7745
524	8550	7735
525	8568	7720
526	8590	7710
527	8610	7697
528	8629	7683
529	8642	7664
530	8658	7647
531	8672	7629
532	8688	7612
533	8703	7595
534	8718	7577
535	8732	7559
536	8746	7541
537	8759	7521
538	8771	7502
539	8785	7483
540	8799	7466
541	8813	7447
542	8828	7430
543	8844	7413
544	8857	7394
545	8871	7376
546	8885	7358
547	8899	7340
548	8914	7323
549	8927	7304
550	8941	7285
551	8953	7266
552	8967	7248
553	8981	7230
554	8995	7212
555	9009	7195
556	9023	7176
557	9034	7156
558	9047	7138
559	9061	7119
560	9080	7105
561	9103	7095
562	9118	7077
563	9129	7057
564	9142	7039
565	9156	7021
566	9172	7004
567	9199	6997
568	9218	6983
569	9235	6967
570	9249	6949
