iter	RMSE
0	431.450898
1	426.6159611
2	422.4735831
3	419.0650065
4	415.9753598
5	413.1575673
6	410.9490859
7	408.8517508
8	407.1032303
9	405.6568116
10	404.07658
11	402.1460815
12	400.8178173
13	399.9063046
14	398.9496918
15	398.0643892
16	397.2933541
17	396.4497329
18	395.1572427
19	394.4866446
20	393.9334953
21	392.7037014
22	390.5866798
23	390.1784449
24	389.8336011
25	389.3986232
26	389.0778791
27	387.284527
28	386.8932731
29	386.5118953
30	386.1799615
31	385.9278804
32	385.6480532
33	385.4317391
34	384.6509144
35	384.4339522
36	384.1653824
37	383.9162221
38	381.8509751
39	381.5961216
40	381.2813896
41	381.0911569
42	380.8942496
43	380.6604505
44	380.4767502
45	378.65658
46	378.4230673
47	378.3175363
48	378.1684782
49	376.546686
50	376.3027044
51	375.9910364
52	375.8048473
53	375.699719
54	375.5406609
55	375.4598797
56	375.4004483
57	375.3325957
58	375.234756
59	373.8613037
60	372.5769383
61	372.2444222
62	372.1238783
63	372.0738452
64	372.020646
65	370.8658146
66	369.8643842
67	369.8125309
68	369.713489
69	369.5982708
70	369.3604238
71	368.9517983
72	368.8687853
73	368.352635
74	368.1718738
75	368.130511
76	367.9905468
77	367.2573727
78	367.057749
79	366.9722031
80	366.8471575
81	366.1796903
82	366.0776753
83	366.040212
84	365.8978717
85	365.8529654
86	365.8168817
87	365.7604894
88	365.5823199
89	365.5595984
90	365.4922737
91	365.3973013
92	365.3048754
93	365.2784439
94	364.7003273
95	364.1440621
96	364.1130906
97	364.0139881
98	363.9864319
99	363.9639027
100	363.9630729
101	363.8602917
102	363.7554871
103	363.2615016
104	363.182544
105	363.1084809
106	363.0173347
107	362.970218
108	362.822512
109	362.8061963
110	362.7046812
111	362.5968873
112	362.5864356
113	362.5051888
114	362.462811
115	362.2619549
116	362.1704151
117	362.149364
118	362.0680169
119	362.0104704
120	361.9621107
121	361.5520743
122	361.2524644
123	361.0994938
124	361.0400934
125	361.0272334
126	360.7035215
127	360.6680513
128	360.5918916
129	360.5349437
130	360.4934423
131	360.4878409
132	360.4832978
133	360.3858388
134	360.303864
135	360.0169138
136	359.9316599
137	359.8694449
138	359.6748087
139	359.6159071
140	359.4885948
141	359.3979379
142	359.370848
143	359.29456
144	359.2183556
145	359.1596557
146	359.1018843
147	359.0508607
148	358.9920824
149	358.9684665
150	358.9442878
151	358.8376393
152	358.8058408
153	358.7698658
154	358.7380042
155	358.6474997
156	358.527373
157	358.4881895
158	358.4763218
159	358.4507619
160	358.4048794
161	358.3252911
162	358.2236028
163	358.1884593
164	358.1326794
165	358.0837632
166	358.0493568
167	358.0336317
168	357.9836545
169	357.9590944
170	357.8874511
171	357.8779646
172	357.823989
173	357.7793
174	357.7158903
175	357.6751509
176	357.6503354
177	357.6299952
178	357.5928447
179	357.5796793
180	357.531738
181	357.5086077
182	357.4786398
183	357.4355502
184	357.4031849
185	357.3780296
186	357.3653269
187	357.3118764
188	357.2065961
189	357.1757273
190	357.1527659
191	357.1231386
192	357.0323328
193	357.0085627
194	356.9763773
195	356.9561999
196	356.9203919
197	356.8764697
198	356.8433048
199	356.8185577
200	356.784454
201	356.7649006
202	356.7368748
203	356.6589752
204	356.6493874
205	356.6199109
206	356.6055683
207	356.5932281
208	356.5694271
209	356.5485202
210	356.5301362
211	356.5207109
212	356.4797437
213	356.3051678
214	356.2737599
215	356.2448558
216	356.2265784
217	356.2179762
218	356.2043754
219	356.192002
220	356.1614911
221	356.1366772
222	356.1256241
223	356.1014633
224	356.0919302
225	356.0780915
226	356.0128383
227	356.0045688
228	355.9984809
229	355.9766406
230	355.965916
231	355.9539801
232	355.9323495
233	355.899147
234	355.8816164
235	355.8443578
236	355.8241569
237	355.8079482
238	355.8007969
239	355.7913101
240	355.7651153
241	355.7581733
242	355.5882281
243	355.5822555
244	355.5644244
245	355.5315222
246	355.5029201
247	355.4775256
248	355.4491477
249	355.4419876
250	355.4017399
251	355.3779735
252	355.2608494
253	355.2283838
254	355.2073933
255	355.1861496
256	355.15587
257	355.1390347
258	355.0644522
259	355.0486428
260	355.0256761
261	355.0000776
262	354.9872289
263	354.9626005
264	354.9452126
265	354.9354383
266	354.8491307
267	354.8423471
268	354.8313696
269	354.8189367
270	354.8115811
271	354.7972002
272	354.793056
273	354.7860038
274	354.7693339
275	354.750898
276	354.7211553
277	354.6982118
278	354.6860527
279	354.6797827
280	354.6043437
281	354.598586
282	354.5862591
283	354.5490162
284	354.5283291
285	354.5088146
286	354.496034
287	354.4560155
288	354.4505557
289	354.4268824
290	354.4069554
291	354.385136
292	354.3643077
293	354.3452119
294	354.3057664
295	354.2953827
296	354.248846
297	354.2399568
298	354.227126
299	354.1967
300	354.1922855
301	354.1813813
302	354.1636606
303	354.1529293
304	354.1297186
305	354.095741
306	354.0874463
307	354.0723861
308	354.0311767
309	354.0190825
310	354.0098149
311	354.0033488
312	353.999402
313	353.9841992
